r_aux_025;r_aux_975;r_aux_50;ers;Geocodigo
0,905969;2,534830;1,582866;agua boa;5107065
0,875209;1,901756;1,322674;alta floresta;5106158
1,109491;1,341692;1,221916;baixada cuiabana;5108402
0,568960;1,652512;1,016029;barra do garcas;5103908
1,193356;2,778475;1,875435;caceres;5102504
0,629509;1,828373;1,124155;diamantino;5108907
1,526551;3,487427;2,373327;juina;5103379
0,891019;1,907714;1,335409;peixoto de azevedo;5108055
0,587346;1,498581;0,972738;pontes e lacerda;5106752
0,887336;1,586496;1,203229;porto alegre do norte;5107743
1,170123;1,570392;1,360456;rondonopolis;5100300
1,170123;1,570392;1,360456;sao felix do araguaia;5100359
1,347321;1,891500;1,604052;sinop;5104526
1,184944;1,810498;1,475681;tangara da serra;5107875
